id,section,question,n_diagrams,kinds,has_hidden_tech,verdict
03-8,03 RAG and retrieval,Overlapping vs. non-overlapping chunks,1,concept,False,concept only (ok)
03-9,03 RAG and retrieval,"Chunking structured content like tables, code, or nested headings with",1,concept,False,concept only (ok)
03-10,03 RAG and retrieval,Context relevant but answer vague: chunk boundaries likely cut the ans,1,concept,False,concept only (ok)
03-11,03 RAG and retrieval,"Picking an embedding model, and whether bigger always means better ret",1,concept,True,ok (concept shown + jiuwen hidden)
03-12,03 RAG and retrieval,Should queries and documents use the same embedding model,1,concept,True,ok (concept shown + jiuwen hidden)
03-13,03 RAG and retrieval,Why swapping embedding models forces a full re-embedding of the corpus,1,concept,False,concept only (ok)
03-14,03 RAG and retrieval,"Multilingual documents: multilingual embedding models, translate at qu",1,concept,False,concept only (ok)
03-15,03 RAG and retrieval,"Dense vs. sparse retrieval, and fusing both with reciprocal rank fusio",1,concept,True,ok (concept shown + jiuwen hidden)
03-16,03 RAG and retrieval,When keyword search outperforms semantic search,1,concept,True,ok (concept shown + jiuwen hidden)
03-17,03 RAG and retrieval,"Why a purely semantic system can fail on queries with exact codes, IDs",1,concept,False,concept only (ok)
03-18,03 RAG and retrieval,How do you decide between retrieving 5 documents versus 20,1,concept,False,concept only (ok)
03-19,03 RAG and retrieval,How would you design retrieval to work across structured data (SQL tab,1,concept,False,concept only (ok)
03-20,03 RAG and retrieval,What reranking adds that initial retrieval doesn't already do,1,concept,False,concept only (ok)
03-21,03 RAG and retrieval,"How do you know if your reranker is actually improving results, or jus",1,concept,False,concept only (ok)
03-22,03 RAG and retrieval,"Would you rerank every query, or only some, and how do you decide",1,concept,False,concept only (ok)
03-23,03 RAG and retrieval,"How much latency reranking adds, and deciding if it's worth it",1,concept,False,concept only (ok)
03-24,03 RAG and retrieval,Bi-encoder for retrieval vs. cross-encoder for reranking,1,concept,False,concept only (ok)
03-25,03 RAG and retrieval,"What is query rewriting or query expansion, and when does it meaningfu",1,concept,False,concept only (ok)
03-26,03 RAG and retrieval,How would you handle a vague or ambiguous user query before it even re,1,concept,False,concept only (ok)
03-27,03 RAG and retrieval,"How would you decompose a complex, multi-part question into smaller re",1,concept,False,concept only (ok)
03-28,03 RAG and retrieval,"What is multi-hop retrieval, and when does single-pass retrieval fail ",1,concept,False,concept only (ok)
03-29,03 RAG and retrieval,Handling a question requiring information from multiple documents,1,concept,False,concept only (ok)
03-30,03 RAG and retrieval,When to skip RAG and rely on parametric knowledge instead,1,concept,True,ok (concept shown + jiuwen hidden)
03-31,03 RAG and retrieval,"Retrieval looks correct, answer is wrong: check if the chunk actually ",1,concept,False,concept only (ok)
03-32,03 RAG and retrieval,How do you handle hallucinations when retrieved context doesn't actual,1,concept,True,ok (concept shown + jiuwen hidden)
03-33,03 RAG and retrieval,How do you handle retrieval when documents contain conflicting or outd,1,concept,False,concept only (ok)
03-34,03 RAG and retrieval,"No relevant documents exist: expected behavior is a confidence-gated """,1,concept,False,concept only (ok)
03-35,03 RAG and retrieval,"Same question, different answers on different days: non-deterministic ",1,concept,True,ok (concept shown + jiuwen hidden)
03-36,03 RAG and retrieval,"Vocabulary mismatch, where the answer exists but uses different wordin",1,concept,False,concept only (ok)
03-37,03 RAG and retrieval,"Structuring error handling for a pipeline where retrieval, reranking, ",1,concept,True,ok (concept shown + jiuwen hidden)
03-38,03 RAG and retrieval,"Cutting tokens without losing quality: tighter reranking, summarizing ",1,concept,False,concept only (ok)
03-39,03 RAG and retrieval,Building a retrieval eval set without labeled relevant documents yet,1,concept,False,concept only (ok)
03-40,03 RAG and retrieval,Handling multiple document types and formats in the same system,1,concept,False,concept only (ok)
03-41,03 RAG and retrieval,RAG vs. pasting retrieved text into a long-context prompt,1,concept,False,concept only (ok)
04-1,04 RAG system design,"Design a RAG system for a customer support chatbot handling 100,000 qu",1,concept,False,concept only (ok)
04-2,04 RAG system design,Design a RAG pipeline for a codebase assistant that needs to stay curr,1,concept,False,concept only (ok)
04-3,04 RAG system design,Design a document search system for a legal firm with millions of conf,1,concept,False,concept only (ok)
04-4,04 RAG system design,"How retrieval architecture changes from 10,000 to 10 million documents",1,concept,False,concept only (ok)
04-5,04 RAG system design,How do you shard or partition a vector database as it grows,1,concept,False,concept only (ok)
04-6,04 RAG system design,"Keeping retrieval fast as the vector database grows, without a full re",1,concept,False,concept only (ok)
04-7,04 RAG system design,"What database would you choose for the vector store, and why that one ",1,concept,True,ok (concept shown + jiuwen hidden)
04-8,04 RAG system design,How do you decide between a hosted vector database and a self-managed ,1,concept,False,concept only (ok)
04-9,04 RAG system design,"What happens to the user experience if the vector database is down, wh",1,concept,False,concept only (ok)
04-10,04 RAG system design,Handling a document updated or deleted after it's already indexed,1,concept,False,concept only (ok)
04-11,04 RAG system design,How would you design the system so users never get an answer based on ,1,concept,False,concept only (ok)
04-12,04 RAG system design,How do you design for the case where retrieval returns zero relevant d,1,concept,False,concept only (ok)
04-13,04 RAG system design,"Your system needs sub-500ms responses, walk me through where you'd spe",1,concept,False,concept only (ok)
05-1,"05 Agents, tools and memory",What's the difference between a chatbot and an agent,2,concept+concept,False,concept only (ok)
05-2,"05 Agents, tools and memory",What's the difference between a workflow and an agent,2,concept+concept,False,concept only (ok)
05-3,"05 Agents, tools and memory",What's the difference between a linear chain and a graph with conditio,1,concept,True,ok (concept shown + jiuwen hidden)
05-4,"05 Agents, tools and memory","What's the ReAct pattern, and why interleave reasoning with actions in",1,concept,False,concept only (ok)
05-5,"05 Agents, tools and memory",How does function calling actually work under the hood,1,concept,False,concept only (ok)
05-6,"05 Agents, tools and memory",How do you set a hard limit on iterations or steps within a framework,1,concept,False,concept only (ok)
05-7,"05 Agents, tools and memory",What decides when an agent stops and returns a final answer instead of,1,concept,False,concept only (ok)
05-8,"05 Agents, tools and memory","How do you decide how many retrieval hops are enough, and how do you p",1,concept,True,ok (concept shown + jiuwen hidden)
05-9,"05 Agents, tools and memory",Preventing an agent from getting stuck in an infinite tool-calling loo,1,concept,True,ok (concept shown + jiuwen hidden)
05-10,"05 Agents, tools and memory",How does an agent decide when to retrieve again versus when it has eno,1,concept,False,concept only (ok)
05-11,"05 Agents, tools and memory",How does a framework register and expose tools to the underlying model,1,concept,True,ok (concept shown + jiuwen hidden)
05-12,"05 Agents, tools and memory",How do you handle a tool that a framework doesn't natively support,1,concept,True,ok (concept shown + jiuwen hidden)
05-13,"05 Agents, tools and memory",How do you handle a tool call that fails or returns malformed output,1,concept,False,concept only (ok)
05-14,"05 Agents, tools and memory",Designing retry logic that doesn't cause duplicate side effects on a t,1,concept,True,ok (concept shown + jiuwen hidden)
05-15,"05 Agents, tools and memory",How would you add a custom retry policy for a specific tool without br,1,concept,False,concept only (ok)
05-16,"05 Agents, tools and memory",Handling concurrent API calls when an agent needs to call multiple too,1,concept,False,concept only (ok)
05-17,"05 Agents, tools and memory",How does the framework handle a step that times out or throws an error,1,concept,True,ok (concept shown + jiuwen hidden)
05-18,"05 Agents, tools and memory",How does an agent break a complex task into smaller subtasks,1,concept,False,concept only (ok)
05-19,"05 Agents, tools and memory",How do you handle a task where the plan needs to change mid-execution ,1,concept,False,concept only (ok)
05-20,"05 Agents, tools and memory",What's the difference between a single-step agent and a multi-step pla,3,concept+concept+concept,False,concept only (ok)
05-21,"05 Agents, tools and memory","What's the planner-executor pattern, and when do you need it",1,concept,False,concept only (ok)
05-22,"05 Agents, tools and memory",How does a framework track state across multiple steps in an agent's e,1,concept,True,ok (concept shown + jiuwen hidden)
05-23,"05 Agents, tools and memory",How would you pause an agent mid-execution and resume it later with th,1,concept,False,concept only (ok)
05-24,"05 Agents, tools and memory",How would you add human-in-the-loop approval before a specific step ex,1,concept,False,concept only (ok)
05-25,"05 Agents, tools and memory",What's the difference between short-term and long-term memory in an ag,1,concept,False,concept only (ok)
05-26,"05 Agents, tools and memory",How do you decide what to store in memory versus what to discard,1,concept,False,concept only (ok)
05-27,"05 Agents, tools and memory",How do you prevent memory from growing unbounded across a long session,1,concept,False,concept only (ok)
05-28,"05 Agents, tools and memory",How would you summarize conversation history without losing important ,1,concept,False,concept only (ok)
05-29,"05 Agents, tools and memory",What does an agent framework actually give you that raw API calls don',1,concept,True,ok (concept shown + jiuwen hidden)
05-30,"05 Agents, tools and memory",What's the difference between a graph-based framework like LangGraph a,1,concept,False,concept only (ok)
05-31,"05 Agents, tools and memory","How do you decide between LangGraph, CrewAI, and the Anthropic Agent S",1,concept,True,ok (concept shown + jiuwen hidden)
05-32,"05 Agents, tools and memory",What tradeoffs come with choosing a heavier framework versus writing a,1,concept,True,ok (concept shown + jiuwen hidden)
05-33,"05 Agents, tools and memory",When does a framework add unnecessary abstraction instead of solving a,1,concept,True,ok (concept shown + jiuwen hidden)
05-34,"05 Agents, tools and memory",What happens when the framework's abstractions don't match how your ac,1,concept,True,ok (concept shown + jiuwen hidden)
05-35,"05 Agents, tools and memory",How does the framework decide which node or agent runs next,1,concept,True,ok (concept shown + jiuwen hidden)
05-36,"05 Agents, tools and memory","How do you version and roll back an agent's workflow definition, not j",1,concept,False,concept only (ok)
05-37,"05 Agents, tools and memory",What's the difference between a supervisor pattern and a peer-to-peer ,1,concept,False,concept only (ok)
05-38,"05 Agents, tools and memory",How does a framework handle communication between multiple agents,1,concept,False,concept only (ok)
05-39,"05 Agents, tools and memory",How does the framework handle one agent's output becoming another agen,1,concept,False,concept only (ok)
05-40,"05 Agents, tools and memory",How do you prevent multiple agents from producing conflicting or redun,1,concept,False,concept only (ok)
05-41,"05 Agents, tools and memory",How do you debug a failure when it's unclear which agent in the chain ,1,concept,True,ok (concept shown + jiuwen hidden)
05-42,"05 Agents, tools and memory",When is a multi-agent system overkill compared to a single well-design,1,concept,False,concept only (ok)
05-43,"05 Agents, tools and memory","What is agentic RAG, and how is it different from a standard fixed RAG",1,concept,True,ok (concept shown + jiuwen hidden)
05-44,"05 Agents, tools and memory",How would you prevent an agentic RAG system from retrieving in an unne,1,concept,True,ok (concept shown + jiuwen hidden)
05-45,"05 Agents, tools and memory",Controlling cost when an agent can call tools repeatedly,1,concept,True,ok (concept shown + jiuwen hidden)
06-1,06 Evaluation,"How do you evaluate an LLM's output beyond ""it looks correct""",1,concept,False,concept only (ok)
06-2,06 Evaluation,Why evaluate retrieval and generation as two separate stages instead o,1,concept,False,concept only (ok)
06-3,06 Evaluation,Why exact-match scoring fails when a correct answer can be phrased mul,1,concept,False,concept only (ok)
06-4,06 Evaluation,"Recall@k, and what a low score tells you about your retrieval setup",1,concept,False,concept only (ok)
06-5,06 Evaluation,Precision@k = relevant docs in top k / k — how it differs from Recall@,1,concept,False,concept only (ok)
06-6,06 Evaluation,"MRR, and when it matters more than Recall@k",1,concept,False,concept only (ok)
06-7,06 Evaluation,NDCG: weights relevant results by position against an ideal ranking — ,1,concept,False,concept only (ok)
06-8,06 Evaluation,Faithfulness vs. relevance in RAG evaluation,1,concept,False,concept only (ok)
06-9,06 Evaluation,"Computing faithfulness: decomposing an answer into atomic claims, scor",1,concept,False,concept only (ok)
06-10,06 Evaluation,"Measuring hallucination rate: claim extraction from the output, then v",1,concept,False,concept only (ok)
06-11,06 Evaluation,"What is perplexity, and what does a lower score actually tell you",1,concept,False,concept only (ok)
06-12,06 Evaluation,Known limitations of using an LLM as a judge,1,concept,False,concept only (ok)
06-13,06 Evaluation,"How do you evaluate when there's no ground truth answer, only a query ",1,concept,False,concept only (ok)
06-14,06 Evaluation,How would you build an eval dataset from scratch if you don't have one,1,concept,False,concept only (ok)
06-15,06 Evaluation,"How many examples before eval results are statistically meaningful, no",1,concept,False,concept only (ok)
06-16,06 Evaluation,"How would you compare two models for a specific task, not just a gener",1,concept,False,concept only (ok)
06-17,06 Evaluation,Building a regression test suite to catch a quality drop before it shi,1,concept,False,concept only (ok)
06-18,06 Evaluation,"Evaluating continuously in production, not just once before launch",1,concept,True,ok (concept shown + jiuwen hidden)
06-19,06 Evaluation,How do you detect when your retrieval quality has degraded over time,1,concept,False,concept only (ok)
06-20,06 Evaluation,High eval scores but users still complaining — what does that gap tell,1,concept,False,concept only (ok)
06-21,06 Evaluation,Tying an eval metric back to a business outcome a stakeholder actually,1,concept,False,concept only (ok)
07-1,"07 Production, cost and scale","Where cost concentrates: embedding is cheap and one-time, generation s",1,concept,False,concept only (ok)
07-2,"07 Production, cost and scale",How would you reduce cost for a high-volume RAG system without degradi,1,concept,False,concept only (ok)
07-3,"07 Production, cost and scale",How do you control cost in a system where usage scales unpredictably,1,concept,True,ok (concept shown + jiuwen hidden)
07-4,"07 Production, cost and scale",First cut at 50% cost reduction: route simple queries to a smaller mod,1,concept,False,concept only (ok)
07-5,"07 Production, cost and scale",Designing caching for repeated or semantically similar queries,1,concept,True,ok (concept shown + jiuwen hidden)
07-6,"07 Production, cost and scale",Reducing latency in a multi-step LLM pipeline,1,concept,False,concept only (ok)
07-7,"07 Production, cost and scale","Multithreading vs. multiprocessing, which matters more for I/O-bound L",1,concept,False,concept only (ok)
07-8,"07 Production, cost and scale",What happens to your architecture at 10x current traffic,1,concept,False,concept only (ok)
08-1,08 Security and safety,"What prompt injection is, and how you'd defend against it",1,concept,True,ok (concept shown + jiuwen hidden)
08-2,08 Security and safety,Handling untrusted content from a tool result or retrieved document,1,concept,True,ok (concept shown + jiuwen hidden)
08-3,08 Security and safety,How do you handle a user trying to jailbreak your system's guardrails,1,concept,True,ok (concept shown + jiuwen hidden)
08-4,08 Security and safety,How do you make sure a user only retrieves documents they're actually ,1,concept,False,concept only (ok)
08-5,08 Security and safety,How do you prevent an agent from taking a destructive or irreversible ,1,concept,False,concept only (ok)
08-6,08 Security and safety,How do you prevent a model from generating harmful or biased content,1,concept,True,ok (concept shown + jiuwen hidden)
08-7,08 Security and safety,Preventing sensitive data from leaking into a model's context or outpu,1,concept,False,concept only (ok)
08-8,08 Security and safety,Design a multi-tenant RAG system where each customer's data must stay ,1,concept,False,concept only (ok)
09-1,09 Fine-tuning and customizatio,What's the difference between pretraining and fine-tuning,1,concept,False,concept only (ok)
09-2,09 Fine-tuning and customizatio,"What is instruction tuning, and how is it different from base model pr",1,concept,False,concept only (ok)
09-3,09 Fine-tuning and customizatio,What's the difference between full fine-tuning and parameter-efficient,1,concept,False,concept only (ok)
09-4,09 Fine-tuning and customizatio,"When would you fine-tune instead of using a longer, more detailed prom",1,concept,False,concept only (ok)
09-5,09 Fine-tuning and customizatio,"What's the difference between RAG and fine-tuning, and when would you ",1,concept,False,concept only (ok)
09-6,09 Fine-tuning and customizatio,"What's the risk of fine-tuning on a small, narrow dataset",1,concept,False,concept only (ok)
10-1,10 General engineering,Deciding when a problem actually needs an LLM versus a simpler rule-ba,1,concept,False,concept only (ok)
10-2,10 General engineering,"Larger model vs. smaller, faster one for a given task",1,concept,False,concept only (ok)
10-3,10 General engineering,"How do you evaluate whether a framework will scale with your team, not",1,concept,True,ok (concept shown + jiuwen hidden)
10-4,10 General engineering,What's your rollback plan if a prompt or model update degrades output ,1,concept,False,concept only (ok)
10-5,10 General engineering,"A stakeholder wants to ship before your eval scores are ready, how do ",1,concept,False,concept only (ok)
90-1,"90 20 LLM terms — definitions, ",Token,0,-,False,NONE
90-2,"90 20 LLM terms — definitions, ",Embedding,0,-,False,NONE
90-3,"90 20 LLM terms — definitions, ",Context window,0,-,False,NONE
90-4,"90 20 LLM terms — definitions, ",Temperature,0,-,False,NONE
90-5,"90 20 LLM terms — definitions, ",Top-p (nucleus sampling),0,-,False,NONE
90-6,"90 20 LLM terms — definitions, ",RAG,1,concept,False,concept only (ok)
90-7,"90 20 LLM terms — definitions, ",Chunking,0,-,False,NONE
90-8,"90 20 LLM terms — definitions, ",Vector database,0,-,False,NONE
90-9,"90 20 LLM terms — definitions, ",Reranking,0,-,False,NONE
90-10,"90 20 LLM terms — definitions, ",Hallucination,0,-,False,NONE
90-11,"90 20 LLM terms — definitions, ",Fine-tuning,0,-,False,NONE
90-12,"90 20 LLM terms — definitions, ",Prompt engineering,0,-,False,NONE
90-13,"90 20 LLM terms — definitions, ",Few-shot prompting,0,-,False,NONE
90-14,"90 20 LLM terms — definitions, ",Chain-of-thought prompting,0,-,False,NONE
90-15,"90 20 LLM terms — definitions, ",Function calling,1,concept,False,concept only (ok)
90-16,"90 20 LLM terms — definitions, ",Agent,1,concept,False,concept only (ok)
90-17,"90 20 LLM terms — definitions, ",Memory,0,-,False,NONE
90-18,"90 20 LLM terms — definitions, ",Latency,0,-,False,NONE
90-19,"90 20 LLM terms — definitions, ",Quantization,0,-,False,NONE
90-20,"90 20 LLM terms — definitions, ",Prompt injection,1,concept,True,ok (concept shown + jiuwen hidden)
91-1,91 AI engineer interview patter,"""Design a RAG system"" tests failure mode awareness, not architecture r",1,concept,False,concept only (ok)
91-2,91 AI engineer interview patter,"""Compare two approaches"" tests tradeoff reasoning tied to numbers, not",1,concept,False,concept only (ok)
91-3,91 AI engineer interview patter,"""The agent is stuck"" tests whether you've shipped one, not studied one",1,concept,False,concept only (ok)
91-4,91 AI engineer interview patter,"""How do you know it's working"" tests evaluation depth, not confidence",1,concept,False,concept only (ok)
91-5,91 AI engineer interview patter,Scaling questions test whether you've thought past the demo,1,concept,False,concept only (ok)
91-6,91 AI engineer interview patter,Security-adjacent questions are disguised as normal engineering questi,1,concept,True,ok (concept shown + jiuwen hidden)
91-7,91 AI engineer interview patter,"Stakeholder questions test judgment under pressure, not technical dept",1,concept,False,concept only (ok)
92-1,92 LLM interview patterns — wha,"""How does the model know X"" is really testing context window understan",1,concept,False,concept only (ok)
92-2,92 LLM interview patterns — wha,"""The model made something up"" is testing hallucination handling, not m",1,concept,False,concept only (ok)
92-3,92 LLM interview patterns — wha,"Any A-vs-B comparison is testing tradeoff reasoning, not the ""right"" a",1,concept,False,concept only (ok)
92-4,92 LLM interview patterns — wha,"""The agent is stuck in a loop"" is testing production experience",0,-,False,NONE
92-5,92 LLM interview patterns — wha,Any prompt behavior question is secretly a versioning and testing ques,1,concept,False,concept only (ok)
92-6,92 LLM interview patterns — wha,"""How do you know it's working"" is testing evaluation depth",1,concept,False,concept only (ok)
92-7,92 LLM interview patterns — wha,Any question about untrusted input is testing prompt injection awarene,1,concept,True,ok (concept shown + jiuwen hidden)
93-1,93 LLM architecture patterns — ,Simple RAG pipeline,1,concept,False,concept only (ok)
93-2,93 LLM architecture patterns — ,Modular RAG with reranking,1,concept,False,concept only (ok)
93-3,93 LLM architecture patterns — ,Agentic tool-calling pattern,1,concept,False,concept only (ok)
93-4,93 LLM architecture patterns — ,Planner–executor pattern,1,concept,False,concept only (ok)
93-5,93 LLM architecture patterns — ,Critic or reflection loop,1,concept,False,concept only (ok)
93-6,93 LLM architecture patterns — ,Memory-augmented agent,1,concept,False,concept only (ok)
93-7,93 LLM architecture patterns — ,Router pattern,1,concept,False,concept only (ok)
